time,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
2024/05/15 2:20:51.195 pm,0.03520575165748596,-0.44194313883781433,-0.04752419888973236,0.5627705005504894,0.07665433392287342,4.522203026272303e-18,0.8230513680087573,0.3416660651415798,1.1846785452632442,-0.2311521269932061
2024/05/15 2:20:51.206 pm,0.1046692505478859,-0.6987304091453552,-0.03420093655586243,0.5630495885015527,0.0743845982165522,-0.0018197924343352388,0.8230668342163462,0.3373945781429717,1.1852261729823044,-0.23278768510432893
2024/05/15 2:20:51.217 pm,0.1712093949317932,-0.8261719942092896,0.01162700355052948,0.563600558618441,0.07123877313510385,-0.004099412653540493,0.8229597032442695,0.33108225803574354,1.1864854595410617,-0.23431478433356615
2024/05/15 2:20:51.225 pm,0.19309082627296448,-0.9002526998519897,0.07032636553049088,0.5643641433748012,0.06755839217170971,-0.006431052634860098,0.8227318413039986,0.32294837039789787,1.1883963423002368,-0.2348682004083018
2024/05/15 2:20:51.235 pm,0.2151671051979065,-0.983629047870636,0.12524794042110443,0.5651930398718333,0.06335887678164523,-0.008761097184412463,0.822475392456944,0.3126250456180172,1.1906343638128618,-0.23397565321622946
2024/05/15 2:20:51.245 pm,0.2751888632774353,-0.9808334708213806,0.16474299132823944,0.5662049438932601,0.058849262161311165,-0.011030571546470832,0.8220870965123629,0.30102394658103404,1.1934380812254324,-0.23216262688801714
2024/05/15 2:20:51.256 pm,0.30769434571266174,-0.8541466593742371,0.15727736055850983,0.5674074796870372,0.0545359306008489,-0.013085058292468626,0.8215250877670734,0.2899092654865961,1.1967369849730278,-0.2302395806272265
2024/05/15 2:20:51.265 pm,0.31461820006370544,-0.580337405204773,0.13502229750156403,0.568703755161648,0.051118675950855196,-0.01458954290255324,0.8208228149140764,0.2812351131048296,1.2002190500674474,-0.22866940486987752
2024/05/15 2:20:51.275 pm,0.16605134308338165,-0.3845530152320862,0.0566776879131794,0.5697210531587825,0.04884264048859708,-0.015613680582364127,0.8202368611793736,0.27573401556345767,1.2029033010988515,-0.22793022324499626
2024/05/15 2:20:51.285 pm,-0.033351968973875046,-0.26402977108955383,-0.017512977123260498,0.5699832340751005,0.04746226516444553,-0.01645126235311169,0.8201194261177023,0.27246717694130806,1.2036264238595982,-0.22785771493209397
2024/05/15 2:20:51.295 pm,-0.20350798964500427,-0.2278057038784027,-0.038913872092962265,0.5694517339631663,0.046558806568746586,-0.017245694250170463,0.8205239477833043,0.2699459154272493,1.2023601050341859,-0.22777429284086104
2024/05/15 2:20:51.307 pm,-0.2907836437225342,-0.25341057777404785,0.0006613893201574683,0.5683929554547202,0.045675464657499845,-0.01794966766702304,0.8212923635280132,0.26641635465953,1.1998752339681409,-0.22651936660223418
2024/05/15 2:20:51.315 pm,-0.3357827961444855,-0.37785449624061584,0.09033508598804474,0.5670975163642339,0.04428731890667709,-0.018585342604456274,0.8222492017094675,0.26009701326876683,1.1969916476612095,-0.22310257104103517
2024/05/15 2:20:51.325 pm,-0.44300931692123413,-0.5897900462150574,0.13965672254562378,0.565499596016811,0.0420078595831768,-0.019336678253789066,0.8234511090666667,0.24979835669637357,1.1935919364183663,-0.2171561995062513
2024/05/15 2:20:51.335 pm,-0.5800814628601074,-0.9057623744010925,0.09239014983177185,0.563303684229082,0.038606624229279254,-0.020871079192655864,0.825083664412047,0.23618575333211012,1.1888308644560153,-0.210638721065993
2024/05/15 2:20:51.345 pm,-0.38798701763153076,-0.9796645045280457,0.08933623880147934,0.5611234274004145,0.034425169285008196,-0.023149253110451802,0.8266920114432856,0.2216178038786349,1.1840964132152925,-0.2053682760244675
2024/05/15 2:20:51.358 pm,-0.0678686648607254,-0.7522941827774048,0.10632640868425369,0.5601245403024369,0.03047829095419841,-0.025221006584942293,0.8274633427756891,0.2091975384196822,1.1821626658434694,-0.20161998492953395
2024/05/15 2:20:51.365 pm,0.04091523960232735,-0.2999160885810852,0.07255064696073532,0.5600788027578804,0.028042018580265976,-0.026287416643335136,0.8275472708670686,0.20166273746012697,1.1823775469425104,-0.19913381177462758
2024/05/15 2:20:51.376 pm,-0.05414629727602005,-0.08119306713342667,-0.013414861634373665,0.5600795329920812,0.02722530092061636,-0.02666460555970016,0.8275619329877287,0.1992135297878322,1.1824832655223902,-0.19840540258331985
2024/05/15 2:20:51.385 pm,-0.1604805588722229,-0.008320881053805351,-0.010472877882421017,0.5596006836040329,0.027117608647239846,-0.026849154159544607,0.8278833289344887,0.19870067448150264,1.1813304198501748,-0.19831370863059547
2024/05/15 2:20:51.395 pm,-0.1983344703912735,0.03507852554321289,0.08682331442832947,0.5588574401746098,0.027117308940705905,-0.026645546628613105,0.8283918170935048,0.19722178729162965,1.1796188340845053,-0.1965416467030606
2024/05/15 2:20:51.405 pm,-0.2338247150182724,-0.0263269804418087,0.2584865987300873,0.5579799932150812,0.026710148468999825,-0.02587000230323864,0.8290209652090899,0.1922191261801121,1.1778169759816446,-0.1910076687228784
2024/05/15 2:20:51.415 pm,-0.3007084131240845,-0.14054915308952332,0.44460082054138184,0.5569232973363432,0.025390421487279085,-0.024604216123305274,0.8298110725499989,0.1817633915206019,1.175890540692638,-0.18062949691271177
2024/05/15 2:20:51.425 pm,-0.4541803002357483,-0.35418692231178284,0.546491801738739,0.5553825348046407,0.023069785704331762,-0.023100724449986364,0.8309538911744544,0.16598050056417907,1.173030439830808,-0.16602513438336075
