time,x,y,z
2024/05/15 2:20:51.195 pm,0.1036376953125,-0.949249267578125,-0.2758026123046875
2024/05/15 2:20:51.206 pm,0.120849609375,-0.9349822998046875,-0.297882080078125
2024/05/15 2:20:51.217 pm,0.141448974609375,-0.9375152587890625,-0.3125762939453125
2024/05/15 2:20:51.225 pm,0.1241302490234375,-0.9329071044921875,-0.321502685546875
2024/05/15 2:20:51.235 pm,0.10455322265625,-0.931976318359375,-0.3231353759765625
2024/05/15 2:20:51.245 pm,0.090789794921875,-0.9397125244140625,-0.3392791748046875
2024/05/15 2:20:51.256 pm,0.0828094482421875,-0.95013427734375,-0.377899169921875
2024/05/15 2:20:51.265 pm,0.069091796875,-0.9638519287109375,-0.398529052734375
2024/05/15 2:20:51.275 pm,0.059112548828125,-0.9594268798828125,-0.3749237060546875
2024/05/15 2:20:51.285 pm,0.06890869140625,-0.96917724609375,-0.3101959228515625
2024/05/15 2:20:51.295 pm,0.0807342529296875,-0.9676055908203125,-0.2695770263671875
2024/05/15 2:20:51.307 pm,0.1016082763671875,-0.9380645751953125,-0.258758544921875
2024/05/15 2:20:51.315 pm,0.1391448974609375,-0.909637451171875,-0.25860595703125
2024/05/15 2:20:51.325 pm,0.15185546875,-0.8984222412109375,-0.2365264892578125
2024/05/15 2:20:51.335 pm,0.11456298828125,-0.89862060546875,-0.2116241455078125
2024/05/15 2:20:51.345 pm,0.073822021484375,-0.926544189453125,-0.2772216796875
2024/05/15 2:20:51.358 pm,0.073944091796875,-0.924041748046875,-0.4481658935546875
2024/05/15 2:20:51.365 pm,0.05645751953125,-0.9216766357421875,-0.5381927490234375
2024/05/15 2:20:51.376 pm,0.0195770263671875,-0.936248779296875,-0.5032958984375
2024/05/15 2:20:51.385 pm,0.042327880859375,-0.9520721435546875,-0.4116973876953125
2024/05/15 2:20:51.395 pm,0.0966644287109375,-0.9371490478515625,-0.3856353759765625
2024/05/15 2:20:51.405 pm,0.16009521484375,-0.8967437744140625,-0.3959503173828125
2024/05/15 2:20:51.415 pm,0.2169952392578125,-0.882598876953125,-0.383026123046875
2024/05/15 2:20:51.425 pm,0.2341766357421875,-0.8729400634765625,-0.3525848388671875
2024/05/15 2:20:51.435 pm,0.220977783203125,-0.8836822509765625,-0.3403472900390625
2024/05/15 2:20:51.445 pm,0.1984100341796875,-0.914337158203125,-0.4104461669921875
2024/05/15 2:20:51.455 pm,0.0997314453125,-0.9407501220703125,-0.56982421875
2024/05/15 2:20:51.465 pm,-0.04949951171875,-0.926971435546875,-0.6644439697265625
2024/05/15 2:20:51.476 pm,-0.10906982421875,-0.9589385986328125,-0.5526580810546875
2024/05/15 2:20:51.485 pm,-0.0567779541015625,-1.006805419921875,-0.4228515625
2024/05/15 2:20:51.495 pm,-0.0380401611328125,-1.00152587890625,-0.4062652587890625
2024/05/15 2:20:51.505 pm,-0.0481719970703125,-0.9919586181640625,-0.39337158203125
2024/05/15 2:20:51.515 pm,-0.045867919921875,-1.00384521484375,-0.3579559326171875
2024/05/15 2:20:51.525 pm,-0.032135009765625,-1.0009613037109375,-0.34918212890625
2024/05/15 2:20:51.535 pm,-0.0237884521484375,-1.000823974609375,-0.3401336669921875
2024/05/15 2:20:51.545 pm,-0.0756378173828125,-1.033660888671875,-0.33099365234375
2024/05/15 2:20:51.555 pm,-0.1721038818359375,-1.0803375244140625,-0.279693603515625
2024/05/15 2:20:51.565 pm,-0.24554443359375,-1.1161651611328125,-0.208099365234375
2024/05/15 2:20:51.575 pm,-0.249420166015625,-1.118408203125,-0.175872802734375
2024/05/15 2:20:51.585 pm,-0.209747314453125,-1.0806121826171875,-0.1943817138671875
2024/05/15 2:20:51.595 pm,-0.0912017822265625,-0.9583587646484375,-0.3043975830078125
2024/05/15 2:20:51.605 pm,0.0960540771484375,-0.807220458984375,-0.4079437255859375
2024/05/15 2:20:51.615 pm,0.292694091796875,-0.7372283935546875,-0.3923797607421875
2024/05/15 2:20:51.625 pm,0.3778076171875,-0.737884521484375,-0.29498291015625
2024/05/15 2:20:51.635 pm,0.3240509033203125,-0.738525390625,-0.211090087890625
2024/05/15 2:20:51.645 pm,0.3101806640625,-0.709503173828125,-0.145538330078125
2024/05/15 2:20:51.655 pm,0.4188232421875,-0.6248779296875,-0.1336822509765625
2024/05/15 2:20:51.666 pm,0.5569915771484375,-0.4976348876953125,-0.1339111328125
2024/05/15 2:20:51.675 pm,0.659149169921875,-0.435150146484375,-0.1631927490234375
2024/05/15 2:20:51.685 pm,0.6707000732421875,-0.430267333984375,-0.2716064453125
2024/05/15 2:20:51.695 pm,0.4705047607421875,-0.54412841796875,-0.2662353515625
2024/05/15 2:20:51.705 pm,-0.0860443115234375,-0.912200927734375,-0.0388641357421875
2024/05/15 2:20:51.715 pm,-0.0860443115234375,-0.912200927734375,-0.0388641357421875
2024/05/15 2:20:51.725 pm,-1.1016845703125,-1.5534820556640625,0.1268310546875
2024/05/15 2:20:51.735 pm,-1.2015228271484375,-1.636016845703125,-0.022369384765625
2024/05/15 2:20:51.745 pm,-1.0340423583984375,-1.5771331787109375,-0.112884521484375
2024/05/15 2:20:51.755 pm,-0.81695556640625,-1.34832763671875,-0.2468719482421875
2024/05/15 2:20:51.765 pm,-0.5347137451171875,-1.041046142578125,-0.4903564453125
2024/05/15 2:20:51.775 pm,-0.1213226318359375,-0.806610107421875,-0.690887451171875
2024/05/15 2:20:51.785 pm,0.3622283935546875,-0.7541351318359375,-0.71270751953125
2024/05/15 2:20:51.795 pm,0.3622283935546875,-0.7541351318359375,-0.71270751953125
